Seed,Active Slot Coefficient,End Slot,Total Stake,Node Stake,Blocks Produced
10759,0.05,7200,1000,776,286
10706,0.05,7200,1000,948,343
10646,0.05,7200,1000,246,87
10621,0.05,7200,1000,108,34
10594,0.05,7200,1000,184,59
10586,0.05,7200,1000,872,303
10564,0.05,7200,1000,658,218
10558,0.05,7200,1000,856,283
10548,0.05,7200,1000,215,79
10542,0.05,7200,1000,94,36
1054,0.05,7200,1000,830,278
10536,0.05,7200,1000,545,219
10517,0.05,7200,1000,896,334
10427,0.05,7200,1000,944,326
1040,0.05,7200,1000,583,190
10364,0.05,7200,1000,240,89
10328,0.05,7200,1000,476,175
1027,0.05,7200,1000,265,96
10244,0.05,7200,1000,804,302
10222,0.05,7200,1000,971,383
10172,0.05,7200,1000,177,63
10163,0.05,7200,1000,495,162
10157,0.05,7200,1000,144,57
10154,0.05,7200,1000,661,223
10151,0.05,7200,1000,513,204
1008,0.05,7200,1000,472,193
10076,0.05,7200,1000,489,158
1006,0.05,7200,1000,879,331
10046,0.05,7200,1000,849,289
10018,0.05,7200,1000,743,254
10009,0.05,7200,1000,103,40
